ONS code,Area name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
E09000001,City of London," 5,009 "," 5,117 "," 5,126 "," 5,263 "," 5,374 "," 5,374 "," 5,375 "," 5,421 "," 5,467 "," 5,459 "," 5,513 "," 5,531 "," 5,566 "," 6,003 "," 6,229 "," 6,306 "," 6,313 "," 6,451 "," 6,506 "
E09000002,Barking and Dagenham," 68,298 "," 68,526 "," 68,837 "," 68,899 "," 69,261 "," 69,529 "," 69,835 "," 70,551 "," 70,839 "," 70,946 "," 71,079 "," 71,431 "," 71,937 "," 72,668 "," 73,182 "," 73,914 "," 74,510 "," 74,923 "," 75,829 "
E09000003,Barnet," 130,515 "," 130,801 "," 131,883 "," 132,856 "," 133,902 "," 134,941 "," 135,429 "," 136,680 "," 137,769 "," 138,616 "," 139,346 "," 141,461 "," 142,835 "," 143,948 "," 145,272 "," 146,730 "," 148,529 "," 150,737 "," 152,946 "
E09000004,Bexley," 91,606 "," 91,908 "," 92,223 "," 92,950 "," 93,220 "," 93,433 "," 93,746 "," 94,078 "," 94,371 "," 94,798 "," 95,037 "," 95,240 "," 95,658 "," 96,186 "," 96,996 "," 96,864 "," 97,628 "," 97,905 "," 98,391 "
E09000005,Brent," 101,427 "," 102,828 "," 103,846 "," 104,454 "," 105,093 "," 106,768 "," 107,970 "," 109,037 "," 110,244 "," 111,414 "," 112,083 "," 112,643 "," 113,305 "," 114,039 "," 115,598 "," 116,649 "," 118,013 "," 118,707 "," 120,448 "
E09000006,Bromley," 128,717 "," 128,974 "," 129,314 "," 129,809 "," 130,640 "," 131,387 "," 132,339 "," 133,112 "," 133,673 "," 134,298 "," 135,036 "," 135,612 "," 136,304 "," 136,453 "," 136,864 "," 137,564 "," 138,422 "," 138,976 "," 139,684 "
E09000007,Camden," 93,112 "," 93,884 "," 94,460 "," 94,841 "," 95,563 "," 96,351 "," 96,998 "," 97,517 "," 98,557 "," 99,139 "," 99,828 "," 100,196 "," 100,760 "," 101,214 "," 101,653 "," 102,618 "," 103,826 "," 104,771 "," 105,598 "
E09000008,Croydon," 141,300 "," 141,424 "," 141,819 "," 142,177 "," 142,566 "," 142,961 "," 143,714 "," 144,896 "," 146,152 "," 147,249 "," 148,099 "," 148,806 "," 149,697 "," 150,992 "," 152,515 "," 154,559 "," 157,394 "," 159,470 "," 161,060 "
E09000009,Ealing," 120,331 "," 120,590 "," 120,922 "," 121,428 "," 121,910 "," 122,744 "," 124,111 "," 125,531 "," 126,381 "," 126,901 "," 127,187 "," 127,872 "," 128,862 "," 129,631 "," 130,528 "," 131,249 "," 132,094 "," 133,551 "," 135,305 "
E09000010,Enfield," 112,948 "," 114,131 "," 115,274 "," 116,338 "," 117,056 "," 117,614 "," 118,667 "," 119,946 "," 120,623 "," 121,243 "," 122,042 "," 122,339 "," 122,888 "," 123,400 "," 123,799 "," 124,471 "," 125,369 "," 125,755 "," 126,255 "
E09000011,Greenwich," 95,406 "," 95,972 "," 96,746 "," 98,182 "," 99,807 "," 101,194 "," 101,931 "," 102,257 "," 102,560 "," 102,651 "," 103,186 "," 104,509 "," 104,623 "," 105,735 "," 106,883 "," 108,603 "," 110,983 "," 112,884 "," 114,398 "
E09000012,Hackney," 87,208 "," 88,557 "," 90,216 "," 91,588 "," 92,738 "," 93,941 "," 95,391 "," 97,302 "," 99,689 "," 101,657 "," 102,408 "," 103,565 "," 104,365 "," 105,490 "," 106,748 "," 107,574 "," 108,770 "," 110,037 "," 111,559 "
E09000013,Hammersmith and Fulham," 77,095 "," 77,287 "," 77,609 "," 78,198 "," 78,666 "," 79,315 "," 79,969 "," 80,510 "," 80,994 "," 81,902 "," 82,390 "," 82,861 "," 83,281 "," 83,907 "," 85,267 "," 85,635 "," 86,609 "," 88,140 "," 89,186 "
E09000014,Haringey," 93,638 "," 94,321 "," 95,142 "," 95,714 "," 97,169 "," 98,339 "," 99,827 "," 100,960 "," 102,294 "," 103,430 "," 104,173 "," 105,456 "," 106,033 "," 106,507 "," 106,640 "," 106,879 "," 107,620 "," 108,820 "," 109,388 "
E09000015,Harrow," 80,734 "," 80,963 "," 81,524 "," 82,053 "," 82,704 "," 83,363 "," 84,072 "," 84,535 "," 85,395 "," 85,994 "," 86,524 "," 86,994 "," 87,709 "," 88,004 "," 88,414 "," 89,324 "," 89,980 "," 90,680 "," 91,909 "
E09000016,Havering," 93,792 "," 94,194 "," 94,553 "," 95,182 "," 95,727 "," 96,191 "," 97,132 "," 97,551 "," 98,289 "," 98,805 "," 99,184 "," 99,226 "," 99,463 "," 99,619 "," 100,261 "," 101,273 "," 101,716 "," 101,993 "," 102,459 "
E09000017,Hillingdon," 99,060 "," 99,328 "," 99,766 "," 100,306 "," 100,646 "," 101,241 "," 101,525 "," 102,020 "," 102,901 "," 103,508 "," 103,907 "," 104,896 "," 106,363 "," 106,917 "," 107,462 "," 108,171 "," 108,935 "," 109,777 "," 110,734 "
E09000018,Hounslow," 85,810 "," 86,521 "," 87,433 "," 88,608 "," 89,509 "," 90,367 "," 92,108 "," 94,100 "," 94,969 "," 95,893 "," 96,892 "," 97,472 "," 97,704 "," 98,390 "," 98,787 "," 99,267 "," 99,824 "," 100,735 "," 101,838 "
E09000019,Islington," 83,244 "," 84,255 "," 85,984 "," 87,263 "," 87,942 "," 88,820 "," 90,650 "," 92,378 "," 94,707 "," 96,301 "," 96,872 "," 98,096 "," 99,015 "," 100,258 "," 100,756 "," 101,783 "," 102,457 "," 102,824 "," 103,740 "
E09000020,Kensington and Chelsea," 83,751 "," 83,819 "," 83,965 "," 84,363 "," 84,518 "," 84,596 "," 84,630 "," 84,577 "," 84,553 "," 84,756 "," 84,798 "," 84,900 "," 84,957 "," 85,553 "," 86,537 "," 86,921 "," 87,276 "," 87,611 "," 87,726 "
E09000021,Kingston upon Thames," 62,474 "," 62,621 "," 62,868 "," 63,405 "," 63,918 "," 64,249 "," 64,547 "," 64,812 "," 64,972 "," 65,086 "," 65,198 "," 65,422 "," 65,625 "," 65,886 "," 66,412 "," 66,651 "," 66,924 "," 67,141 "," 67,642 "
E09000022,Lambeth," 120,390 "," 121,455 "," 122,013 "," 122,819 "," 123,839 "," 125,207 "," 126,555 "," 127,978 "," 129,289 "," 130,655 "," 132,213 "," 133,063 "," 133,598 "," 134,852 "," 136,263 "," 137,610 "," 138,745 "," 140,288 "," 141,507 "
E09000023,Lewisham," 108,964 "," 109,435 "," 109,746 "," 110,808 "," 111,594 "," 112,632 "," 113,286 "," 114,370 "," 115,576 "," 116,640 "," 117,651 "," 118,839 "," 120,637 "," 121,350 "," 122,818 "," 124,357 "," 125,961 "," 126,487 "," 128,115 "
E09000024,Merton," 80,789 "," 80,602 "," 80,475 "," 80,333 "," 80,271 "," 80,541 "," 80,534 "," 80,683 "," 81,050 "," 80,971 "," 80,919 "," 81,429 "," 81,842 "," 82,282 "," 82,707 "," 83,215 "," 83,649 "," 84,297 "," 84,570 "
E09000025,Newham," 93,390 "," 94,609 "," 95,491 "," 96,805 "," 97,378 "," 98,274 "," 98,994 "," 99,915 "," 100,984 "," 102,444 "," 103,212 "," 104,121 "," 104,791 "," 106,760 "," 108,810 "," 110,251 "," 112,628 "," 114,474 "," 116,979 "
E09000026,Redbridge," 93,989 "," 94,682 "," 95,500 "," 96,196 "," 96,903 "," 97,665 "," 98,687 "," 99,313 "," 99,938 "," 100,889 "," 101,348 "," 101,874 "," 102,138 "," 102,396 "," 102,653 "," 102,707 "," 103,462 "," 103,924 "," 104,688 "
E09000027,Richmond upon Thames," 78,411 "," 78,676 "," 78,957 "," 79,248 "," 79,877 "," 80,819 "," 81,105 "," 81,458 "," 81,853 "," 82,116 "," 82,482 "," 82,691 "," 83,176 "," 83,540 "," 83,781 "," 84,294 "," 84,759 "," 85,141 "," 85,564 "
E09000028,Southwark," 107,119 "," 107,540 "," 108,467 "," 110,145 "," 112,162 "," 113,731 "," 116,042 "," 118,189 "," 119,657 "," 121,412 "," 123,265 "," 124,319 "," 125,566 "," 127,217 "," 128,358 "," 129,740 "," 132,152 "," 132,970 "," 136,178 "
E09000029,Sutton," 77,701 "," 77,734 "," 77,856 "," 78,054 "," 78,354 "," 78,498 "," 78,633 "," 79,116 "," 79,444 "," 79,508 "," 79,696 "," 80,283 "," 80,510 "," 80,810 "," 81,237 "," 81,628 "," 82,281 "," 82,978 "," 83,553 "
E09000030,Tower Hamlets," 80,225 "," 82,185 "," 83,659 "," 85,341 "," 88,380 "," 91,356 "," 94,373 "," 97,010 "," 100,471 "," 103,509 "," 105,379 "," 108,254 "," 109,215 "," 109,875 "," 110,791 "," 113,185 "," 118,012 "," 120,015 "," 121,539 "
E09000031,Waltham Forest," 91,992 "," 92,409 "," 92,700 "," 92,991 "," 93,618 "," 94,381 "," 95,303 "," 96,281 "," 97,247 "," 97,624 "," 98,279 "," 98,783 "," 99,251 "," 99,640 "," 100,311 "," 101,284 "," 102,317 "," 103,029 "," 103,642 "
E09000032,Wandsworth," 120,744 "," 121,620 "," 122,821 "," 124,138 "," 125,880 "," 127,243 "," 128,946 "," 130,226 "," 132,060 "," 133,885 "," 134,619 "," 135,601 "," 136,558 "," 137,757 "," 138,841 "," 141,579 "," 143,915 "," 146,162 "," 148,075 "
E09000033,Westminster," 101,213 "," 103,124 "," 104,540 "," 106,760 "," 108,200 "," 110,181 "," 111,743 "," 113,413 "," 115,047 "," 116,644 "," 118,318 "," 119,245 "," 119,837 "," 120,367 "," 121,116 "," 122,024 "," 123,366 "," 124,509 "," 125,312 "
